id,date,c1,c2,total,avg-temperature
chodov,14.04.2011 0:00,,,,5
chodov,14.04.2011 1:00,,,,5
chodov,14.04.2011 2:00,,,,5
chodov,14.04.2011 3:00,,,,4
chodov,14.04.2011 4:00,,,,4
chodov,14.04.2011 5:00,,,,4
chodov,14.04.2011 6:00,,,,3
chodov,14.04.2011 7:00,,,,3
chodov,14.04.2011 8:00,,,,3
chodov,14.04.2011 9:00,,,,4
chodov,14.04.2011 10:00,,,,5
chodov,14.04.2011 11:00,,,,5
chodov,14.04.2011 12:00,,,,6
chodov,14.04.2011 13:00,,,,7
chodov,14.04.2011 14:00,,,,8
chodov,14.04.2011 15:00,,,,8
chodov,14.04.2011 16:00,,,,8
chodov,14.04.2011 17:00,,,,7
chodov,14.04.2011 18:00,,,,7
chodov,14.04.2011 19:00,,,,7
chodov,14.04.2011 20:00,,,,6
chodov,14.04.2011 21:00,,,,5
chodov,14.04.2011 22:00,,,,5
chodov,14.04.2011 23:00,,,,5
chodov,15.04.2011 0:00,,,,5
chodov,15.04.2011 1:00,,,,5
chodov,15.04.2011 2:00,,,,5
chodov,15.04.2011 3:00,,,,4
chodov,15.04.2011 4:00,,,,4
chodov,15.04.2011 5:00,,,,4
chodov,15.04.2011 6:00,,,,4
chodov,15.04.2011 7:00,,,,5
chodov,15.04.2011 8:00,,,,6
chodov,15.04.2011 9:00,,,,6
chodov,15.04.2011 10:00,,,,7
chodov,15.04.2011 11:00,,,,7
chodov,15.04.2011 12:00,,,,7
chodov,15.04.2011 13:00,,,,8
chodov,15.04.2011 14:00,,,,9
chodov,15.04.2011 15:00,,,,9
chodov,15.04.2011 16:00,,,,9
chodov,15.04.2011 17:00,,,,9
chodov,15.04.2011 18:00,,,,8
chodov,15.04.2011 19:00,,,,8
chodov,15.04.2011 20:00,,,,7
chodov,15.04.2011 21:00,,,,8
chodov,15.04.2011 22:00,,,,7
chodov,15.04.2011 23:00,,,,6
chodov,16.04.2011 0:00,,,,7
chodov,16.04.2011 1:00,,,,6
chodov,16.04.2011 2:00,,,,6
chodov,16.04.2011 3:00,,,,5
chodov,16.04.2011 4:00,,,,4
chodov,16.04.2011 5:00,,,,3
chodov,16.04.2011 6:00,,,,2
chodov,16.04.2011 7:00,,,,5
chodov,16.04.2011 8:00,,,,7
chodov,16.04.2011 9:00,,,,10
chodov,16.04.2011 10:00,,,,14
chodov,16.04.2011 11:00,,,,17
chodov,16.04.2011 12:00,,,,15
chodov,16.04.2011 13:00,,,,15
chodov,16.04.2011 14:00,,,,11
chodov,16.04.2011 15:00,,,,14
chodov,16.04.2011 16:00,,,,13
chodov,16.04.2011 17:00,,,,13
chodov,16.04.2011 18:00,,,,15
chodov,16.04.2011 19:00,,,,12
chodov,16.04.2011 20:00,,,,9
chodov,16.04.2011 21:00,,,,8
chodov,16.04.2011 22:00,,,,6
chodov,16.04.2011 23:00,,,,6
chodov,17.04.2011 0:00,,,,5
chodov,17.04.2011 1:00,,,,4
chodov,17.04.2011 2:00,,,,4
chodov,17.04.2011 3:00,,,,4
chodov,17.04.2011 4:00,,,,3
chodov,17.04.2011 5:00,,,,3
chodov,17.04.2011 6:00,,,,3
chodov,17.04.2011 7:00,,,,4
chodov,17.04.2011 8:00,,,,8
chodov,17.04.2011 9:00,,,,10
chodov,17.04.2011 10:00,,,,13
chodov,17.04.2011 11:00,,,,15
chodov,17.04.2011 12:00,,,,15
chodov,17.04.2011 13:00,,,,15
chodov,17.04.2011 14:00,,,,14
chodov,17.04.2011 15:00,,,,17
chodov,17.04.2011 16:00,,,,15
chodov,17.04.2011 17:00,,,,13
chodov,17.04.2011 18:00,,,,13
chodov,17.04.2011 19:00,,,,12
chodov,17.04.2011 20:00,,,,11
chodov,17.04.2011 21:00,,,,11
chodov,17.04.2011 22:00,,,,10
chodov,17.04.2011 23:00,,,,9
chodov,18.04.2011 0:00,,,,7
chodov,18.04.2011 1:00,,,,6
chodov,18.04.2011 2:00,,,,5
chodov,18.04.2011 3:00,,,,5
chodov,18.04.2011 4:00,,,,4
chodov,18.04.2011 5:00,,,,3
chodov,18.04.2011 6:00,,,,2
chodov,18.04.2011 7:00,,,,4
chodov,18.04.2011 8:00,,,,7
chodov,18.04.2011 9:00,,,,10
chodov,18.04.2011 10:00,,,,14
chodov,18.04.2011 11:00,,,,18
chodov,18.04.2011 12:00,,,,16
chodov,18.04.2011 13:00,,,,18
chodov,18.04.2011 14:00,,,,16
chodov,18.04.2011 15:00,,,,16
chodov,18.04.2011 16:00,,,,16
chodov,18.04.2011 17:00,,,,16
chodov,18.04.2011 18:00,,,,12
chodov,18.04.2011 19:00,,,,15
chodov,18.04.2011 20:00,,,,13
chodov,18.04.2011 21:00,,,,11
chodov,18.04.2011 22:00,,,,10
chodov,18.04.2011 23:00,,,,9
chodov,19.04.2011 0:00,,,,8
chodov,19.04.2011 1:00,,,,7
chodov,19.04.2011 2:00,,,,6
chodov,19.04.2011 3:00,,,,5
chodov,19.04.2011 4:00,,,,5
chodov,19.04.2011 5:00,,,,4
chodov,19.04.2011 6:00,,,,4
chodov,19.04.2011 7:00,,,,5
chodov,19.04.2011 8:00,,,,8
chodov,19.04.2011 9:00,,,,12
chodov,19.04.2011 10:00,,,,15
chodov,19.04.2011 11:00,,,,18
chodov,19.04.2011 12:00,,,,18
chodov,19.04.2011 13:00,,,,18
chodov,19.04.2011 14:00,,,,14
chodov,19.04.2011 15:00,,,,19
chodov,19.04.2011 16:00,,,,18
chodov,19.04.2011 17:00,,,,18
chodov,19.04.2011 18:00,,,,14
chodov,19.04.2011 19:00,,,,17
chodov,19.04.2011 20:00,,,,15
chodov,19.04.2011 21:00,,,,14
chodov,19.04.2011 22:00,,,,12
chodov,19.04.2011 23:00,,,,12
chodov,20.04.2011 0:00,,,,11
chodov,20.04.2011 1:00,,,,10
chodov,20.04.2011 2:00,,,,8
chodov,20.04.2011 3:00,,,,8
